sample_id,MIMAT0000070,MIMAT0000103,MIMAT0003240,MIMAT0004592,MIMAT0004602,MIMAT0004804,MIMAT0005586,MIMAT0007347,MIMAT0016849,MIMAT0018192,MIMAT0018931,MIMAT0018971,MIMAT0018997,MIMAT0019003,MIMAT0019020,MIMAT0019737,MIMAT0019964,MIMAT0022286,MIMAT0022693,MIMAT0022945,MIMAT0023700,MIMAT0024598,MIMAT0026720,MIMAT0027359,MIMAT0027431,MIMAT0027478,MIMAT0027498,MIMAT0027540,MIMAT0027574,MIMAT0027575,MIMAT0027660,MIMAT0027686,MIMAT0031000,target,split
GSM2278612,-0.1498208828687896,-0.8396022345241008,-0.3666099433102105,-0.6632242204863829,-0.2925374386739964,-0.9890818075075736,-1.321546908040468,0.7632410125218234,-0.8432663631286301,-0.710787467416127,-0.2231229719903709,-0.1304230268362671,-0.4684905696613091,-0.389418476579586,-2.571048690712848,-0.6239361535810952,0.8558328739525144,-0.2988782201859208,0.172848889832842,0.3677912388255646,-0.7785540528260784,-0.5265707088255989,-0.2362935144858183,-1.026874620206327,-1.195441764844134,0.0689379051317502,-0.1394555062294236,-0.3569026852098639,1.402890642444645,-0.0279205949975942,-0.3139355800464713,-0.1888336954188414,0.5279442882972424,1,test
GSM2278613,1.4904485832223735,0.7353092295730037,-0.2316868079254016,-0.401877357551803,-0.4501988826557831,-1.1033969309956055,-0.5645051806007345,-0.6564606765849833,-1.4570256982936782,-0.9126377522750602,-0.2221265714169519,-0.6618754139694192,-1.0095423627577775,-0.2922985655135116,-0.8909915276196914,-1.0744402552609038,0.6073645151089425,0.5540981483312813,-0.817471123211419,-0.6456007313014215,0.4158078984762368,0.8494137570739841,-0.8273337547799603,-1.504217187466728,-1.2870023438868137,0.2351655693746112,-1.082330571998925,-0.6992313540671967,-0.1102148093712999,0.1532052914442869,0.4220668407448008,-0.5747406932664774,0.5737628973976212,1,test
GSM2278614,0.0375895006557333,-0.5855409858896843,-0.8032660506685204,-0.0684077138130289,-0.5343584785590536,0.7894678965690968,-0.4629797131578896,0.3730175245496145,-1.04176601712347,-0.974911387722351,-0.8572474192492048,-0.587519827629639,-0.693563015907653,-0.5340024580950754,0.9759227722861212,-0.3695677896912593,0.4443382670922776,-0.4494250093697112,-0.7926749373723126,-0.5078901878687371,0.6870679524056262,-0.3860507017903022,-0.0976823029412056,0.467449015160067,-0.7276081171599299,-0.109340717891985,0.5512999054484814,-0.5673262472133885,0.912841504401175,-0.306719205590679,-1.3457137705299935,-0.66673020172224,-1.0685926327296245,1,test
GSM2278620,-1.0645766556683127,-0.6617440508683945,0.1828555746531935,-0.3937892617374758,-0.6781179758269892,-0.871097916851612,0.4568932308628155,-0.5296616379885212,0.734421763765249,-0.7513332492267054,-0.5897573677841833,-0.7328607119202655,-0.7101404353309299,-0.6462723120143414,1.508852823693683,-0.0339227675026568,0.6327722935427025,1.677622077038346,-0.4179980346919282,-0.8269409609398743,0.8024464709876074,-0.7669877631788267,-0.985791751115306,-0.2271461871482272,-0.5667642002179183,-0.299591992382588,0.3895928734941395,0.1065701502194618,1.7417361549276114,0.2923915424689611,1.2230559897302618,0.089066836097375,-0.9114473489758405,1,test
GSM2278623,-0.3308269716564237,0.1410060448013677,-0.2190089651628912,-0.7179359429178807,-0.0984527820837095,-0.4315900108048114,-1.2127656853232418,0.6098053491069425,-1.2009100424162067,-0.7552668318661259,-0.0429874343617221,-0.1287902039772989,0.789591988988238,-0.5660423001961563,0.3973726262000429,0.6147518344395604,0.4918363965650081,0.94887532640759,-0.7255332264442818,-0.869475618847651,0.1813690492617221,0.4805478033883869,-0.6232461475756805,0.721852038255901,-0.2339158020646313,0.7272574300949761,-0.9804052708937202,-0.5085516291708557,0.1065462689787225,0.5522727256089297,0.188752020279079,0.1558361288561522,0.3895665778386001,1,test
GSM2278627,-1.1111133919234557,-1.447322864954387,-0.3344447365196422,-0.2032449145052171,-0.6298838470740475,-0.9197315732548588,0.7553035173914663,1.0474986126552557,-0.4413184585555252,-0.6444174507528316,-0.5916237407829043,-0.9639084932292716,-0.2767207253693554,-0.3961133634315173,0.7123158567559915,-1.1742016325335811,0.4279856328470365,-0.0118591783817333,-1.0165828387899063,-0.1470191801620978,0.6928360936085466,0.7707033204825247,-0.2250063487546996,1.1037447369392952,1.3717119434581773,0.2034840317935347,-0.3323220636610702,-0.4958094914574626,-0.1623979330965586,-0.0494686294056108,-0.3765374991328543,-0.3673805927897381,-1.100004400956848,1,test
GSM2278630,-1.3732424463925132,-1.0118494523009596,-0.5723848463065577,-0.5363773225945994,-0.4664664923727157,-0.5293190725721392,1.140345335559107,0.0142116469113662,-0.1572164137466247,0.7191483475861776,-1.427725978661494,-0.5959474724473889,-0.6980306561759995,-0.1093082039424238,0.2545186462461697,-0.2482334963768836,0.3679177396626319,-0.5923579752334128,-0.2998150998790956,0.2838690323507602,1.521550542986496,0.4194983553945295,-0.5517984272372699,1.3131790738927656,0.1382821802752567,-0.1968082709119269,-0.631992102294644,0.3492050331828707,0.5770311109677041,-0.1932889497375647,-0.1946595882901905,-0.4295366193492441,-0.8203937548995485,1,test
GSM2278631,-0.0723476764607145,-0.946449359721284,-0.5304359889381488,-0.4944340188934424,-0.3235716465114666,-0.7818990878792407,0.1997092438981389,0.3754373930690167,0.0435711019322137,-0.2570175483545603,0.7350459476041024,-0.5843848662704934,0.429639697545104,-0.5528492603234196,0.0990767896253239,0.7587233665779959,0.3426790776183416,-0.0576807563216039,-0.8676995815659736,0.0606808648316706,0.8158567407490134,-0.4762355379213476,-0.9426312813362449,-0.138341005743162,-0.8029983119701746,-0.3562122163946668,-0.2565942095894692,-0.0672515708489725,-0.2089409754916908,0.8236782639519783,-1.536230911868325,0.4106832807839379,-0.7529704934367825,1,test
GSM2278635,-0.1900493884380796,-0.2180117639100602,-0.3769713423742357,-0.4585731927194677,-0.461091069899587,-1.1981414625827438,-0.59338416184254,0.3827551939418699,-0.7165614650898176,-0.5121073813202248,-0.4245301933873783,-0.2200859421048057,-0.0803829846466411,-0.6481312219219076,1.7467634384095891,-0.3366726102475533,0.4697919213790525,0.7309969690226619,-0.3005802316973813,-0.8062684921939494,-0.2826845214616555,0.5536939209422631,-0.6633984037757301,-0.0942423416993327,0.5061245549141823,0.1684033396762342,0.0701593351701331,-2.3577870014139406,0.9722813295009683,0.6238277557361062,-0.7514753545436965,-0.1478160309573743,0.2209591141156727,1,test
GSM2278643,-0.183616545585672,-0.8498198468868692,-0.6219337645686587,-0.5803832225244634,-0.5709570162547323,-1.0424758537586774,0.579143946155515,0.1480397437230013,0.018497928498509,0.0967329517941145,-0.4514722661438986,-0.9411228924264268,-0.2832535428078981,-0.2465207121002704,0.3480364605622991,-0.9112175028031868,1.177225575988439,0.4102911376324661,-1.1605276572702727,-0.7555624369576701,0.7523018312050509,0.7531552451691371,0.0427233633945423,0.7656175041361121,-0.3216597905019634,0.0323998679474816,0.9449659944688268,-0.2822789058796046,-0.2511387339178647,-0.9345381767077712,0.0317302069946228,-0.8900894789187601,0.9125073383806892,1,test
