sample_id,MIMAT0000070,MIMAT0000103,MIMAT0003240,MIMAT0004592,MIMAT0004602,MIMAT0004804,MIMAT0005586,MIMAT0007347,MIMAT0016849,MIMAT0018192,MIMAT0018931,MIMAT0018971,MIMAT0018997,MIMAT0019003,MIMAT0019020,MIMAT0019737,MIMAT0019964,MIMAT0022286,MIMAT0022693,MIMAT0022945,MIMAT0023700,MIMAT0024598,MIMAT0026720,MIMAT0027359,MIMAT0027431,MIMAT0027478,MIMAT0027498,MIMAT0027540,MIMAT0027574,MIMAT0027575,MIMAT0027660,MIMAT0027686,MIMAT0031000,target,split
GSM2278615,1.0307204928406395,1.1523920968935826,-0.3218112123561286,-0.3883054204936569,-0.6325591399429326,-0.0063889660020789,-0.1730278506682551,0.7349235238907513,-0.5382534673779804,-0.8181670707499777,0.4643960794863022,0.063929260949825,-0.1883107968970148,0.1299253902807584,0.2955075623271541,-0.1756664993359681,0.7461028645279889,-0.0318058723292341,-0.2606422246036909,-0.0396906448349066,0.6746276229423026,0.9656942574590262,0.9906717683264225,1.1522851168927668,-0.4384862978652311,0.5583119042344271,0.6825438684714105,-0.2814331637864177,-0.1527312169971156,-0.1366232325506149,0.0918524459250829,-0.5037632415210067,1.0536213711705151,1,train
GSM2278616,1.7732041500164202,0.9533768544352256,-0.1739493681133625,-0.4739141024289258,-0.5585604594412978,0.0326180795619142,0.4361557910368004,0.8426014219003465,-0.515910151469854,-0.0129255131762439,-0.2190912753882328,-0.6501823217969553,-0.3384896266187945,-0.2847243887330175,0.4150294218712702,-1.4571028155500974,0.5256422008510188,-0.4106847915146434,-0.2669084622446241,-1.1507504283597096,1.9989366193631903,0.1385607687677684,-0.2138605481958229,-0.0169695480071322,-0.3940731978235238,2.3274941128420297,0.2704735986546066,-1.4325495076933743,0.1260847931961743,1.9085687597452057,-0.4762516697749734,-0.8106869166252398,0.9036938184031452,1,train
GSM2278617,0.6847403318378723,0.4031918752043046,-0.4965956939172268,-0.6084972606593576,-0.0662347910443324,-1.190761649275845,2.336522595798788,0.1212932289154596,-0.0426761509661964,-1.115327173012237,0.3154707564128958,-0.6352536653375442,-1.09933257241795,-0.8557059245746655,0.3635964781820111,0.1458481279689061,-0.0571225652834932,0.0868104529206292,-0.6492009344941317,-0.7694358315006159,0.1745780271970402,0.3805754560601129,-0.4092115572805674,0.5019136735839712,-0.6054070271670225,0.3790079554053862,0.2125156571023563,-0.9123927666728048,2.028289238894214,-0.1332619124567216,-1.4098285513612143,-0.1140390634825532,0.0133287813841147,1,train
GSM2278618,-0.7940881620633322,-1.0394557922929968,-0.3256456410011324,-0.3925245509161675,-0.3821812631976495,-0.0858066762573822,0.0569880030417706,1.6844874281438924,-0.2362361326650807,-0.3893782645864114,-0.3853231334576061,3.160955618372067e-05,0.0069463017604875,-0.4091148772864216,-0.7151789688303676,-0.698837355381652,-0.5812392862229018,0.0774946537635723,-0.3853191474925131,-0.4117971890081154,-0.0542041926894064,1.1889183140991086,-0.2428998679749131,1.3777528842552156,-0.3338364246143796,1.1597762877911773,-0.1867102852438142,-1.22310655815449,0.1497688246431948,-0.1289827490988588,-1.642709747691417,0.3219302640123085,0.527364582827905,1,train
GSM2278619,-1.453257107942173,-0.910481172643818,-0.4910618752582511,-0.4243408778657623,-0.4795717950072639,-0.0363039799766874,0.1785050860265225,0.6315500949749183,-0.7281271377395085,0.2272892489728083,-0.8987325370672161,0.078501348592745,-0.0926349379610086,-0.7020575361222844,0.9138950276601266,0.2415833679205995,-0.1661964933087486,0.9153233794398448,-0.7484710447586936,0.1635633996485805,-0.4054384514161518,-0.3364446659605473,-0.6233376146645436,0.8943178740376263,0.1738799022711314,-0.8393019084480193,-0.3484323840185805,-0.809019626744081,0.2940215136369016,0.4866715061023798,-1.2824333004534707,-1.0358714244689644,0.367640690704765,1,train
GSM2278621,-1.7336316360170947,-0.9404726229261776,0.0357498511378512,-0.1131470304855195,-0.573679301580953,-0.8085968696214353,0.5416208382795851,-0.2304332048162337,-0.3542720700082519,-0.6874088943141664,-0.171829523539865,0.2339763568169233,0.1831736585197942,-0.4193281623828987,0.9334038430985144,-0.412801752857646,0.2116494256205502,0.0724920259996176,-0.5033913500692023,-1.1420717415709083,0.5504955910619981,-0.0116814220450068,0.8262588799789534,0.1746204080797812,-0.5945918650912263,-0.4420843257484277,0.5187318755169512,-0.489447510549004,0.7713335722622129,1.2114039452337542,-1.561224118415151,0.6545991423192948,-0.1565517015611301,1,train
GSM2278622,0.7515146762166969,-0.3749998374630344,-0.2904996760044424,-0.543069455400664,-0.5570688789344623,-0.1560332741699442,1.0801043631984606,0.3881873599562135,0.3750174428467161,0.4043464204663267,0.0174152973873472,-0.1178118014204482,-0.1150472794213133,-0.5245473308212221,-0.2700706772050675,0.1730278673762485,0.3240897849231244,-0.0971184812575337,-0.6632022347209945,0.0938930220128559,0.613103728967678,-0.0619190787437172,-0.6554242825827881,0.4265591082960846,-0.4582318084161831,-0.2334258664941496,-0.7343782540808116,-0.291833216715754,1.234391078805721,-0.9544134536390642,0.4133185565069635,0.6873338546128227,0.0606982461993724,1,train
GSM2278624,-0.052903249267536,-0.7018532563665442,-0.4602170752423722,-0.3686922014705032,-0.7470131206119491,-0.1016298562199059,0.6030123030828,0.2406301838495596,0.4181791644454126,0.126331346636636,-0.3578494602684892,0.1867779853118776,-0.3170077569296566,-0.207611972325083,0.3940549725816857,-0.4445051636903064,0.8601680696732483,2.114587121943422,-0.2007471910466311,-0.3351114359618632,-0.019224153452055,0.7241801046418918,-0.2958989170803868,-0.0583582337532785,-0.8897292463275593,0.1020282780874589,-1.7475249518235254,0.1232369024238732,-0.714680981810439,-0.319458730974676,-1.793360364968333,-0.3762166179800874,-0.1084669220648745,1,train
GSM2278625,-0.0963371238279153,-0.0757195491338346,-0.6344680427337707,-0.7638463934880934,-0.4333648680288775,-0.3374701075208591,1.9270043601382167,0.6899363912213856,-0.0156313880495107,0.2567948631713468,-1.0264480363741686,-0.2339630302356329,0.0829687811369188,-0.6532099307445083,0.207197780618235,-1.0921993884702976,0.6332410611219466,-0.4281522581000395,-0.4391380178831347,-0.5442801629603617,0.6844097872684386,-0.3554191898335438,0.1412192112857454,0.0632135198086091,-0.5557101863987401,-0.139670701606434,-0.3961338114610054,0.5245244690711699,1.0252605748882857,-0.1061037910474479,-0.7579325490333705,-0.6241364528798602,1.5732145133117388,1,train
GSM2278626,-1.3673319449243138,-0.7683506831971257,0.0746075729492655,-0.3833257691466531,-0.674524768125989,-0.8583747941659947,0.7465255372865054,0.2669369043012518,-0.5319222497739269,-0.8917083482333835,-0.0538807789773093,0.3873115133279466,-0.6794152444642727,-0.7643844873478093,1.2092867173082276,-1.5769173711478917,0.737375566529892,-0.6698112617077652,-0.6011737364401211,-0.8708962063091283,0.6404891310949209,0.8186971801397056,-0.1406000287412115,0.9690781954936404,0.1066836838459006,1.2003248900314378,0.6110698464277157,-0.0196108570845094,-0.3084637326179352,0.8945175726631406,-0.0296085147446351,-0.30402141453503,0.1087470961168662,1,train
